Название,Продолжительность,movies_duration
Дилемма,"Dügüm, 45 мин",45
Эмили,"Emily in Paris, 30 мин",30
Железный человек 2,"Iron Man 2, 124 мин",124
Любовь в большом городе,"Dosinamnyeoui sarangbeop, 30 мин",30
Соловей,87 мин,87
Красавица и чудовище,"Beauty and the Beast, 129 мин",129
Любовь между строк,"Gut gegen Nordwind, 118 мин",118
Простая история,"The Straight Story, 112 мин",112
Между рядами,"In den Gängen, 125 мин",125
Авокадо,"Cannibal Women in the Avocado Jungle of Death, 90 мин",90
Влюблён по собственному желанию,84 мин,84
Омен,"The Omen, 111 мин",111
Без свидетелей,95 мин,95
При чем тут любовь?,"What's Love Got to Do with It?, 108 мин",108
Два дня,"2 Days in the Valley, 101 мин",101
Экзамен для двоих,"Admission, 107 мин",107
Человек-слон,"The Elephant Man, 125 мин",125
Путь к равновесию,"The Drowning, 178 мин",178
Пятьдесят оттенков серого,"Fifty Shades of Grey, 120 мин",120
Рано на пенсию,"It Snows in Benidorm, 117 мин",117
Французский поцелуй,"French Kiss, 111 мин",111
Секса много не бывает,"Un heureux événement, 107 мин",107
Ускользающий человек,"Yucheitalja, 108 мин",108
Война миров,"War of the Worlds, 116 мин",116
Страшные истории для рассказа у костра,"Каракоз, 88 мин",88
Из Парижа с любовью,"From Paris with Love, 89 мин",89
Солдат Джейн,"G.I. Jane, 125 мин",125
Судная ночь. Начало,"The First Purge, 97 мин",97
Двуличный любовник,"L'amant double, 110 мин",110
Касабланка,"Casablanca, 103 мин",103
Сексуальные формы 2,"The Shape of Water, 123 мин",123
Город мастеров,84 мин,84
Анархисты,"The Anarchists, 53 мин",53
Американский жиголо,"American Gigolo, 117 мин",117
Красотка,"Pretty Woman, 115 мин",115
Париж! Париж!,"Faubourg 36, 116 мин",116
Идеальное оружие,"The Perfect Weapon, 87 мин",87
Побег из джунглей,"Boonie Bears: Blast Into the Past, 88 мин",88
Война невест,"Bride Wars, 89 мин",89
Mamma MIA!,"Mamma Mia!, 108 мин",108
"Все, что возбуждает девушек","Yosuga no sora, 25 мин",25
Таможня,"Rien à déclarer, 108 мин",108
"Помогите, я уменьшил своих друзей!","Hilfe, ich hab meine Freunde geschrumpft, 95 мин",95
Семь лет в Тибете,"Seven Years in Tibet, 136 мин",136
Несломленный,"Unbroken, 137 мин",137
Общение мамы,"Mother, Couch, 96 мин",96
Русские грузины. Фильм первый,115 мин,115
Объем,105 мин,105
Вчера,"Ieri, oggi, domani, 118 мин",118
Шкатулка проклятия,"The Possession, 92 мин",92
Боль и слава,"Dolor y gloria, 113 мин",113
Притворись моим парнем,"20 ans d'écart, 92 мин",92
А вот и она,"And So It Goes, 90 мин",90
Навстречу шторму,"Into the Storm, 89 мин",89
Дожди в океане,76 мин,76
"Про Федота-стрельца, удалого молодца",70 мин,70
Русалка. Озеро мертвых,87 мин,87
Почему он?,"Why Him?, 111 мин",111
Наваждение,"Unforgettable, 100 мин",100
Исцеляющая,"Harmony, 90 мин",90
Убей меня трижды,"Kill Me Three Times, 90 мин",90
Миллионер поневоле,"Mr. Deeds, 96 мин",96
Первое убийство,"First Kill, 97 мин",97
Тюрьма 77,"Modelo 77, 125 мин",125
Деревня Утка,87 мин,87
Последнее слово,"The Last Word, 108 мин",108
Дрянные девчонки,"Mean Girls, 97 мин",97
Реальные упыри,"What We Do in the Shadows, 85 мин",85
Всадник без головы,100 мин,100
Звонки,"Rings, 102 мин",102
Лови волну 2,"Surf's Up 2: WaveMania, 84 мин",84
Последняя смена,"Last Shift, 87 мин",87
Фердинанд,"Ferdinand, 108 мин",108
Отец,"The Father, 97 мин",97
Рокки 5,"Rocky V, 104 мин",104
Монстры,"Hotel Transylvania, 91 мин",91
Они пришли вместе,"They Came Together, 83 мин",83
Выпуск 11,65 мин,65
Пятеро друзей 2,"Fünf Freunde 2, 92 мин",92
Песня любви,"Country at Heart, 84 мин",84
Цветная бумага,153 мин,153
Крепкий орешек 4.0,"Live Free or Die Hard, 128 мин",128
Любовь от всех болезней,"Supercondriaque, 107 мин",107
Самая быстрая женщина на Земле,"The Fastest Woman on Earth, 104 мин",104
Создания ночи,"Nocturna, 80 мин",80
Адреналин,"Crank, 88 мин",88
Ковёр-самолёт,"Hodja fra Pjort, 81 мин",81
В постели с врагом,"Sleeping with the Enemy, 99 мин",99
Призрак дома на холме,"The Haunting of Hill House, 572 мин",572
Пришельцы на чердаке,"Aliens in the Attic, 86 мин",86
Щенок,46 мин,46
"Человек, который смеется","L'homme qui rit, 95 мин",95
Возвращение героя,"The Last Stand, 107 мин",107
Мемуары гейши,"Memoirs of a Geisha, 145 мин",145
Где дракон?,"Long zai na li, 97 мин",97
Через Вселенную,"Across the Universe, 133 мин",133
Маленькая Вера,128 мин,128
Дружба особого назначения,90 мин,90
Алиса в стране чудес,"Alice in Wonderland, 108 мин",108
Любовь не по сценарию,"The Rewrite, 107 мин",107
Опасные пассажиры поезда 123,"The Taking of Pelham 123, 102 мин",102
Кузнечик,87 мин,87
Динозаврик,9 мин,9
Зоология,91 мин,91
Живи и дай умереть,"Live and Let Die, 121 мин",121
Немножко беременна,"Knocked Up, 129 мин",129
Рокки,"Rocky, 120 мин",120
Терминатор: Генезис,"Terminator Genisys, 126 мин",126
Диалоги,91 мин,91
Оттенки 2,"Shades of Blue, 43 мин",43
Мошенники,25 мин,25
Возлюбленные,"The One I Love, 91 мин",91
Астерикс и Обеликс против Цезаря,"Astérix & Obélix contre César, 109 мин",109
Мафия бессмертна,93 мин,93
7 часов на соблазнение,"7 ore per farti innamorare, 104 мин",104
Алиса в Стране чудес,"Alice in Wonderland, 108 мин",108
Солнцестояние,"Midsommar, 148 мин",148
ДухLess,105 мин,105
Болото,"The Moor, 118 мин",118
Фантастическая четверка,"Fantastic Four, 100 мин",100
Бетховен 3,"Beethoven's 3rd, 99 мин",99
Уимблдон,"Wimbledon, 98 мин",98
Бойлерная,"Boiler Room, 120 мин",120
Секс по дружбе,"Friends with Benefits, 109 мин",109
Сестры. Фильм о фильме,110 мин,110
Анализируй это,"Analyze This, 103 мин",103
Душа,"Soul, 106 мин",106
Органайзер,"Taking Care of Business, 104 мин",104
Прежде чем я усну,"Before I Go to Sleep, 92 мин",92
Смерть ей к лицу,"Death Becomes Her, 104 мин",104
Такси 5,"Taxi 5, 102 мин",102
Солдат Иван Бровкин,87 мин,87
Великий рейд,"The Great Raid, 132 мин",132
Билл Маар... Но я прав,"Bill Maher... But I'm Not Wrong, 79 мин",79
Стэпфордские жёны,"The Stepford Wives, 93 мин",93
Совершенно серьёзно,68 мин,68
Дикая парочка,"Wild Mountain Thyme, 102 мин",102
Город призраков,"Ghost Town, 102 мин",102
Черепашки-ниндзя,"Teenage Mutant Ninja Turtles, 93 мин",93
З/Л/О,"V/H/S, 116 мин",116
День выборов-2,105 мин,105
Анна Каренина,"Anna Karenina, 129 мин",129
За спичками,100 мин,100
Стюарт Литтл 2,"Stuart Little 2, 77 мин",77
Веном 2,"Venom: Let There Be Carnage, 96 мин",96
Гринч - похититель Рождества,"How the Grinch Stole Christmas, 104 мин",104
Высота 89,104 мин,104
На игле,"Trainspotting, 93 мин",93
Воздушный маршал,"Non-Stop, 106 мин",106
Плохой Санта,"Bad Santa, 92 мин",92
Прямая и явная угроза,"Clear and Present Danger, 141 мин",141
Молодые красотки,40 мин,40
Супергерои,"Supereroi, 121 мин",121
Искупление,"Atonement, 120 мин",120
Стражи Галактики,"Guardians of the Galaxy, 121 мин",121
Терминатор,"The Terminator, 108 мин",108
Замкнутая цепь,"Closed Circuit, 96 мин",96
Заклятие,"The Conjuring, 112 мин",112
После дождичка в четверг,78 мин,78
Большое путешествие,85 мин,85
Сентиментальный роман,97 мин,97
Тихое озеро,"Bull Shark, 80 мин",80
На Париж,95 мин,95
Суета сует,87 мин,87
"Беги, если дела будут плохи",47 мин,47
Синий тигр,"Modrý tygr, 90 мин",90
Побеждая время,"Hours, 97 мин",97
Одесса,130 мин,130
Рождество с неудачниками,"Christmas with the Kranks, 99 мин",99
Тони Эрдманн,"Toni Erdmann, 162 мин",162
"Черная кошка, белый кот","Crna mačka, beli mačor, 135 мин",135
Святые из Бундока,"The Boondock Saints, 109 мин",109
Зимняя вишня,91 мин,91
Кон-Тики,"Kon-Tiki, 109 мин",109
"Джентльмены, удачи!",84 мин,84
Золото дураков,"Fool's Gold, 108 мин",108
Долгая помолвка,"Un long dimanche de fiançailles, 128 мин",128
Золушка,"Cinderella, 105 мин",105
Сфера,"Sphere, 134 мин",134
Укрощение строптивой,"The Taming of the Shrew, 122 мин",122
Семейное ограбление,"Mes trésors, 91 мин",91
Кенгуру Джекпот,"Kangaroo Jack, 89 мин",89
За кулисами,76 мин,76
"Огонь, вода и медные трубы",86 мин,86
Олаф и холодное приключение,"Olaf's Frozen Adventure, 22 мин",22
Римские каникулы,"Roman Holiday, 118 мин",118
Парад планет,96 мин,96
Сталкер,163 мин,163
Флэш,"The Flash, 43 мин",43
Грайндхаус: Доказательство смерти,"Death Proof, 114 мин",114
Ловец снов,"Dreamcatcher, 136 мин",136
Мужчина и женщина: Лучшие годы,"Les plus belles années d'une vie, 90 мин",90
Потрошители,"Repo Men, 111 мин",111
Тупой и еще тупее 2,"Dumb and Dumber To, 108 мин",108
Дэдпул,"Deadpool & Wolverine, 128 мин",128
Добро пожаловать в рай,"Into the Blue, 110 мин",110
Сломленные,"Broken, 87 мин",87
Назад в будущее 2,"Back to the Future Part II, 108 мин",108
Последний звонок,"Last Call, 81 мин",81
Чёрный Адам,"Black Adam, 125 мин",125
Великолепный,"Muhtesem Yüzyil, 100 мин",100
Закону тут не место,"L'ora legale, 95 мин",95
Русское,112 мин,112
Телохранитель бабушки,"Lucky Grandma, 87 мин",87
Герой,115 мин,115
Ночной продавец,85 мин,85
Аптека счастья,9 мин,9
Супергерои,"Supereroi, 121 мин",121
Крупная рыба,"Big Fish, 125 мин",125
Клуб миллиардеров,"Billionaire Boys Club, 108 мин",108
Кровь и кость,"Blood and Bone, 93 мин",93
Бездна,"The Abyss, 140 мин",140
Морбиус,"Morbius, 104 мин",104
Бэтмен,"The Batman, 176 мин",176
Песня о цирке,20 мин,20
Три девятки,"Triple 9, 115 мин",115
Калина красная,110 мин,110
Базз,"Lightyear, 105 мин",105
Проклятый дом 2,"Girl on the Third Floor, 93 мин",93
Пустота,"The Void, 90 мин",90
Уникум,90 мин,90
Звонок. Последняя глава,"Sadako, 99 мин",99
Мама не горюй,83 мин,83
Джейн Эйр,"Jane Eyre, 120 мин",120
Пазл,50 мин,50
Мальчишник в Вегасе,"The Hangover, 96 мин",96
Вверх тормашками,"Head Over Heels, 86 мин",86
Одни дома,"Pups Alone, 107 мин",107
Скорость,"Speed, 116 мин",116
Дети понедельника,94 мин,94
25-й час,"25th Hour, 135 мин",135
Звёздные войны: Эпизод 1 — Скрытая угроза,"Star Wars: Episode I - The Phantom Menace, 136 мин",136
Любовь как бестселлер,"Book of Love, 106 мин",106
Поцелуй,"Kiss Kiss Bang Bang, 103 мин",103
Танцы на улицах: Нью-Йорк,"Body Language, 98 мин",98
С лёгким паром,184 мин,184
Родные,98 мин,98
Принц Египта,"The Prince of Egypt, 99 мин",99
Список контактов,"Deception, 108 мин",108
Любовь-Морковь 2,100 мин,100
Добрыня Никитич и Змей Горыныч,68 мин,68
Я ненавижу День Святого Валентина,"I Hate Valentine's Day, 89 мин",89
Американская готика,"American Gothic, 40 мин",40
Любовь и волосы,"Hair Love, 7 мин",7
Легенда Зорро,"The Legend of Zorro, 129 мин",129
Тихий садовник,"Master Gardener, 111 мин",111
Мартовские иды,"The Ides of March, 101 мин",101
Дело Румянцева,103 мин,103
Спасибо за обмен,"Thanks for Sharing, 112 мин",112
Банды Нью-Йорка,"Gangs of New York, 167 мин",167
Иваново счастье,83 мин,83
Невезучие,"Tais-toi!, 85 мин",85
Добрый день,8 мин,8
Головоломка,"Inside Out, 95 мин",95
На части: Разделены на границе,"Torn Apart: Separated at the Border, 39 мин",39
Штурм,"White House Down, 131 мин",131
Во имя спасения,"Den blomstertid nu kommer, 129 мин",129
Птицы,"The Birds, 119 мин",119
Тропой войны,"Path to War, 165 мин",165
Мученицы,"Martyrs, 99 мин",99
Большой толстый лгун,"Big Fat Liar, 88 мин",88
Лига справедливости,"Justice League, 110 мин",110
Вызвать духа,"Summon a Fiend, 15 мин",15
Второй шанс,"En chance til, 102 мин",102
"Здравствуй, папа, Новый год! 2","Daddy's Home 2, 100 мин",100
Незавершенные дела,"La maniobra de la tortuga, 101 мин",101
Дом Gucci,"House of Gucci, 158 мин",158
"Анжелика, маркиза ангелов","Angélique, marquise des anges, 115 мин",115
Секреты Лос-Анджелеса,"L.A. Confidential, 138 мин",138
Дети шоу-бизнеса,"Showbiz Kids, 95 мин",95
Полярные приключения,"Polar Adventure, 94 мин",94
Скуби-Ду,"Scooby-Doo, 89 мин",89
Эдриенн,"Adrienne, 98 мин",98
Омут,99 мин,99
Песня про папу,"The Last Song, 108 мин",108
Контакт,48 мин,48
"Ева, рожай! Фильм о фильме",22 мин,22
Родители строгого режима,79 мин,79
Незваные,"The Uninvited, 87 мин",87
Бумажный солдат,118 мин,118
Кафе де Флор,"Café de Flore, 120 мин",120
Лица в толпе,"Faces in the Crowd, 103 мин",103
Проклятие моей матери,"The Guilt Trip, 95 мин",95
День и вся жизнь,84 мин,84
Тренер,138 мин,138
Несносные боссы 2,"Horrible Bosses 2, 108 мин",108
За мной последний танец,"Save the Last Dance, 112 мин",112
Залив,"The Bay, 85 мин",85
Широко шагая,"Walking Tall, 86 мин",86
В доме,"Dans la maison, 105 мин",105
Фонтан,"The Fountain, 97 мин",97
Однажды в Вегасе,"What Happens in Vegas, 99 мин",99
Ральф,"Wreck-It Ralph, 101 мин",101
Женщина-кошка,"Catwoman, 104 мин",104
Последствия,"The Fallout, 96 мин",96
Открытые окна,"Open Windows, 100 мин",100
Частный тренер,43 мин,43
Волк с Уолл-стрит,"The Wolf of Wall Street, 180 мин",180
Артист,"The Artist, 96 мин",96
Приключения мистера Пибоди и Шермана,"Mr. Peabody & Sherman, 90 мин",90
Любимчики,"La tropa de trapo en el país donde siempre brilla el sol, 74 мин",74
Зло,"Evil, 42 мин",42
Ганнибал,"Hannibal, 43 мин",43
В ожидании варваров,"Waiting for the Barbarians, 112 мин",112
В поисках Немо,"Finding Nemo, 101 мин",101
Техасская резня бензопилой: Кожаное лицо,"Leatherface, 90 мин",90
Челюсти 4: Месть,"Jaws: The Revenge, 90 мин",90
Боец,"The Fighter, 114 мин",114
Круче некуда,"Hidden Strike, 102 мин",102
На дорогах войны,87 мин,87
Сердца в Атлантиде,"Hearts in Atlantis, 101 мин",101
Пленный,80 мин,80
Флаги наших отцов,"Flags of Our Fathers, 135 мин",135
Игры без мяча,"No Ball Games, 7 мин",7
Аферистка,"I Care a Lot, 118 мин",118
Радионяня,"Baby Phone, 91 мин",91
Грань времени,"Synchronic, 102 мин",102
START YOUNG,30 мин,30
Перевозчик,"The Transporter, 92 мин",92
Иди и смотри,136 мин,136
Спящая красавица,"Sleeping Beauty, 75 мин",75
На берегу,"On Chesil Beach, 110 мин",110
Перспектива,"Prospect, 100 мин",100
Незнакомцы в ночи,"Strangers in the Night, 12 мин",12
Зин с завтраками,"Unfrosted, 93 мин",93
Выкрутасы,97 мин,97
Монгол,126 мин,126
Малышка на миллион,"Million Dollar Baby, 132 мин",132
Самый опасный человек,"A Most Wanted Man, 122 мин",122
Кунг-фу воин,"Tofu, 85 мин",85
Звонок,"The Ring, 115 мин",115
Красавица для чудовища,"Mary Shelley, 120 мин",120
Американский беженец,"American Refugee, 94 мин",94
Золотой ключик,72 мин,72
Заговор в Каире,"Walad min al-Janna, 126 мин",126
Край света,"Edge of the World, 104 мин",104
Слэшер,"Slasher, 60 мин",60
Большие глаза,"Big Eyes, 106 мин",106
Паспорт,103 мин,103
Запрещенный прием,"Sucker Punch, 110 мин",110
Добро пожаловать в Zомбилэнд,"Zombieland, 84 мин",84
Ева,24 мин,24
Святой Винсент,"St. Vincent, 102 мин",102
Крик,"Scream, 111 мин",111
Доспехи Бога: в поисках сокровищ,"Gong fu yu jia, 98 мин",98
Паутина Шарлотты,"Charlotte's Web, 97 мин",97
Клуб анонимных киллеров,"Killers Anonymous, 95 мин",95
Артур Ньюман,"Arthur Newman, 104 мин",104
Кукарача,91 мин,91
Человек-паук,"Spider-Man: No Way Home, 148 мин",148
Парк культуры и отдыха,"Adventureland, 107 мин",107
Спонтанность,"Spontaneous, 101 мин",101
Офицеры,91 мин,91
Начать сначала,106 мин,106
Корабль-призрак,"Ghost Ship, 91 мин",91
Тачки,"Cars, 112 мин",112
Хармс,95 мин,95
Дитя тьмы,"Orphan, 123 мин",123
Современный забор,"Metallica: Some Kind of Monster, 141 мин",141
Неверность,83 мин,83
Секс-гуру,"The Love Guru, 87 мин",87
Следы на воде,100 мин,100
Безумно влюблённый,"Innamorato pazzo, 102 мин",102
Пробей!,"Punch It, 19 мин",19
Джон Картер,"John Carter, 132 мин",132
Частная летняя школа,"Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD, 25 мин",25
Марафон желаний,95 мин,95
Простые сложности,"It's Complicated, 121 мин",121
Жан-Поль Готье. С любовью,"Jean Paul Gaultier: Freak and Chic, 96 мин",96
Бастард,"Bastarden, 127 мин",127
Вий,77 мин,77
Обратная связь. Фильм о фильме,97 мин,97
Адская квартира,"Películas para no dormir: Para entrar a vivir, 68 мин",68
Алита: Боевой ангел,"Alita: Battle Angel, 121 мин",121
Тарзан,"Tarzan, 85 мин",85
Силуэт,"Silhouette, 114 мин",114
"Москва, я терплю тебя",97 мин,97
Олигарх,128 мин,128
Мертвая мамуля,"Mommy Dead and Dearest, 82 мин",82
Итальянец,97 мин,97
Душа Пирата,82 мин,82
Последний круиз,"The Last Cruise, 40 мин",40
Схватка,"Heat, 171 мин",171
Любовь с привилегиями,135 мин,135
Русский бес,98 мин,98
Башни-близнецы,"World Trade Center, 129 мин",129
Монмартр,"Le Fabuleux destin d'Amélie Poulain, 122 мин",122
Вкус ночи,"Wir sind die Nacht, 101 мин",101
Вымогательство,"Extortion, 108 мин",108
Камилла Клодель,"Camille Claudel, 175 мин",175
Принцесса и дракон,70 мин,70
Форрест Гамп,"Forrest Gump, 142 мин",142
Никто не знает про секс,95 мин,95
Беглецы,"Les fugitifs, 95 мин",95
Бурлящий вопрос,"Gordos, 110 мин",110
Без тормозов,"À fond, 91 мин",91
"Две луны, три солнца",82 мин,82
З/Л/О 2,"V/H/S/2, 96 мин",96
Дом,"House of the Dragon, 60 мин",60
Матильда,"Matilda, 98 мин",98
Обыкновенное чудо,137 мин,137
"Броненосец ""Потемкин""",75 мин,75
Клаустрофобы,"Escape Room, 99 мин",99
"Дикий, дикий Запад","Wild Wild West, 106 мин",106
Дитя человеческое,"Children of Men, 109 мин",109
"Твой выход, детка!","Schatz, nimm du sie!, 90 мин",90
Пираты ХХ века,86 мин,86
Паранормальное явление: Метка Дьявола,"Paranormal Activity: The Marked Ones, 84 мин",84
Люблю твою жену,"The Right Kind of Wrong, 97 мин",97
Небесный огонь,"Skyfire, 97 мин",97
Паркер,"Parker, 118 мин",118
Красотки из Барселоны,"Les poupées russes, 125 мин",125
Красотка на всю голову,"I Feel Pretty, 110 мин",110
Назови меня своим именем,"Call Me by Your Name, 132 мин",132
Лето 1941 года,"1941 жылдың жазы, 112 мин",112
Хрусталь,50 мин,50
Питер Читает,90 мин,90
Роль папы в воспитании ребенка,"10 giorni senza mamma, 90 мин",90
Мистер Бин,"Bean, 90 мин",90
Блэйд,"Blade, 120 мин",120
Белое проклятье,77 мин,77
Без приглашения,"Pingpong, 89 мин",89
Девушка без адреса,90 мин,90
Девятые врата,"The Ninth Gate, 133 мин",133
Выпуск 12,47 мин,47
Из Ховрино,8 мин,8
Одноклассники 2,"Grown Ups 2, 101 мин",101
Охотники за привидениями,"Ghostbusters, 105 мин",105
Кочубей,102 мин,102
Улетный новый год,"La noche mágica, 93 мин",93
Красота по-американски,"American Beauty, 122 мин",122
Добро пожаловать в Китай,"Welcome to China, 20 мин",20
Одиноки вместе,"Alone Together, 98 мин",98
Проклятие,"Pamyo, 134 мин",134
Врожденный порок,"Inherent Vice, 149 мин",149
Час истины,"The Vanished, 115 мин",115
Громкая связь,96 мин,96
Лекарь: Ученик Авиценны,"The Physician, 155 мин",155
Воспоминания неудачника,"Flashbacks of a Fool, 110 мин",110
Том Сойер,"Tom Sawyer, 111 мин",111
Перл-Харбор,"Pearl Harbor, 183 мин",183
Сексуальное исцеление,"Sexual Healing, 40 мин",40
Падение к демонам,"Fall of Grace, 81 мин",81
Куда приводят мечты,"What Dreams May Come, 113 мин",113
Убить дракона,123 мин,123
Чародейка,"Vildheks, 97 мин",97
Сделано в Италии,"Made in Italy, 50 мин",50
Судья,"The Judge, 142 мин",142
Суперпитомцы,"DC League of Super-Pets, 105 мин",105
Черная вода,113 мин,113
Группа 7,"Grupo 7, 96 мин",96
Проклятие монахини,"The Nun, 96 мин",96
Звёздные Войны: Войны клонов,"Star Wars: The Clone Wars, 22 мин",22
Дедушка легкого поведения,"Dirty Grandpa, 102 мин",102
Горько!,100 мин,100
Коллекционер 2,"The Collection, 82 мин",82
Шафт,"Shaft, 111 мин",111
Запретные связи 2,"Yasak Elma, 120 мин",120
Миннесота,86 мин,86
Норма Джин и Мэрилин,"Norma Jean & Marilyn, 139 мин",139
Тарелка,"The Dish, 101 мин",101
На край света,93 мин,93
Разрушители,"MythBusters, 43 мин",43
Капельки,"Drops, 7 мин",7
Особенности национальной охоты,93 мин,93
Малавита,"The Family, 111 мин",111
Америкэн бой,117 мин,117
За канделябрами,"Behind the Candelabra, 118 мин",118
Пила 8,"Jigsaw, 91 мин",91
Начинающие,"Beginners, 104 мин",104
Рыбки,"Fishtales, 71 мин",71
Кража в музее,"The Maiden Heist, 90 мин",90
Метеорит,"Meteor, 84 мин",84
Жених на двоих,"Jour J, 94 мин",94
Лесная царевна,94 мин,94
Как выйти замуж за миллионера,45 мин,45
Чёрная Пантера,"Black Panther, 134 мин",134
Вечно молодой,"Forever Young, 102 мин",102
Всё остается людям,103 мин,103
Дозор джунглей,"Les as de la jungle, 97 мин",97
Волшебный портрет,77 мин,77
Глотай,"Swallow, 94 мин",94
Сексоголики 2,21 мин,21
Отцы и дети,176 мин,176
Крепкий орешек,"Die Hard, 133 мин",133
Любовь по ту сторону,"Faraway Eyes, 121 мин",121
Девушка с татуировкой дракона,"The Girl with the Dragon Tattoo, 158 мин",158
Шаг вперед 3D,"Step Up 3D, 101 мин",101
Любить по-русски 3,97 мин,97
Один дома 2,"Home Alone 2: Lost in New York, 119 мин",119
Сеанс,"The 4:30 Movie, 88 мин",88
Бомж с дробовиком,"Hobo with a Shotgun, 86 мин",86
Репортаж: Апокалипсис,"[Rec] 4: Apocalipsis, 95 мин",95
Парклэнд,"Parkland, 93 мин",93
Совесть,419 мин,419
Жди меня,52 мин,52
Мрачные тени,"Dark Shadows, 113 мин",113
Проклятие майя,"Xibalba, 88 мин",88
Битва за Лос-Анджелес,"Battle: Los Angeles, 111 мин",111
Предел риска,"Margin Call, 107 мин",107
С меня хватит,"Falling Down, 113 мин",113
Аватар,"Avatar, 162 мин",162
Первый мститель: Другая война,"Captain America: The Winter Soldier, 136 мин",136
Царство небесное,"Kingdom of Heaven, 145 мин",145
Рыжий пёс,"Red Dog, 92 мин",92
Доктор Лиза,120 мин,120
Дамы приглашают кавалеров,76 мин,76
Здесь и сейчас,"Here and Now, 60 мин",60
Давайте потанцуем,"Shall We Dance?, 106 мин",106
Братья Лю,29 мин,29
Лобстер,"The Lobster, 119 мин",119
Последний самурай,"The Last Samurai, 154 мин",154
Имя,"Le prénom, 109 мин",109
Чудаки 3,"Jackass 3D, 94 мин",94
Баночки,"Christmas Jars, 110 мин",110
Отважная,"The Brave One, 117 мин",117
Сокровище нации,"National Treasure, 131 мин",131
Черная чайка,98 мин,98
Женщина во дворе,"Dans la cour, 97 мин",97
Каникулы,"Vacation, 99 мин",99
47 ронинов,"47 Ronin, 128 мин",128
Любовь и прочие неприятности,"Failure to Launch, 97 мин",97
Дальний космос,"Stowaway, 116 мин",116
Школа выживания,"Drillbit Taylor, 110 мин",110
Вызов,164 мин,164
Каспер,"Casper, 100 мин",100
Госпожа Бовари,"Madame Bovary, 118 мин",118
Перед полуночью,"Before Midnight, 109 мин",109
Ход белой королевы,95 мин,95
Во власти тигра,"Burning Bright, 89 мин",89
Дурной глаз,"Nocebo, 96 мин",96
Пражская улица,"Die Abenteuer des braven Soldaten Schwejk, 60 мин",60
Битва,358 мин,358
Форсаж 6,"Furious 6, 130 мин",130
Джуманджи,"Jumanji, 104 мин",104
От заката до рассвета,"From Dusk Till Dawn, 108 мин",108
Ку-ку,24 мин,24
Ликвидаторы,"Eliminators, 94 мин",94
Горькая правда,"It's a Hard Truth Ain't It, 74 мин",74
Вороны 3,"Kurozu Explode, 129 мин",129
Чужая родня,99 мин,99
Секретная служба Санта-Клауса,"Arthur Christmas, 97 мин",97
Ван Гоги,103 мин,103
Сказки Серого волка,"Revolting Rhymes, 60 мин",60
Старые счёты,"A Score to Settle, 103 мин",103
Клоунада,53 мин,53
Запятнанная репутация,"The Human Stain, 106 мин",106
День труда,"Labor Day, 111 мин",111
Однажды в Америке,"Once Upon a Time in America, 229 мин",229
Стендапер по жизни,"Standing Up, Falling Down, 91 мин",91
Мост в Терабитию,"Bridge to Terabithia, 93 мин",93
Семейка Аддамс,"The Addams Family, 102 мин",102
Губка Боб – квадратные штаны,"SpongeBob SquarePants, 22 мин",22
Книжный клуб,"Book Club, 103 мин",103
Лига Справедливости: В ловушке времени,"JLA Adventures: Trapped in Time, 52 мин",52
Заклинание,"Zhou, 110 мин",110
Одиннадцать друзей Оушена,"Ocean's Eleven, 116 мин",116
Идиот,55 мин,55
Заложница 2,"Taken 2, 91 мин",91
Код да Винчи,"The Da Vinci Code, 149 мин",149
Охотники за привидениями,"Ghostbusters, 105 мин",105
Бык,99 мин,99
Выбор Софи,"Sophie's Choice, 157 мин",157
Рудо и Курси,"Rudo y Cursi, 103 мин",103
Они сражались за Родину,160 мин,160
Давай разведемся!,92 мин,92
10 лет спустя,46 мин,46
Минари,"Minari, 115 мин",115
Немножко женаты,"The Five-Year Engagement, 124 мин",124
Зимняя Нева,"Fuyu no Sonata, 25 мин",25
Король Ричард,"King Richard, 144 мин",144
Ограбление президента,"Finding Steve McQueen, 91 мин",91
Генерал Де Голль,"De Gaulle, 108 мин",108
Пятница 13-е — Часть 2,"Friday the 13th Part 2, 87 мин",87
Дела сердечные,"Gönül Isleri, 120 мин",120
Увертюра,"Hom rong, 103 мин",103
Голос,"Boiseu, 60 мин",60
Оленьи рога,"Antlers, 99 мин",99
Париж подождет,"Paris Can Wait, 93 мин",93
Эйфория,"Euphoria, 55 мин",55
Вальдо,"Last Looks, 111 мин",111
Малхолланд Драйв,"Mulholland Dr., 147 мин",147
Самоизоляция,"The Wolf Hour, 99 мин",99
Бамбу,"Bambou, 90 мин",90
Город героев,"Big Hero 6, 105 мин",105
Монстр,"Monster, 60 мин",60
Три добрых дела,6 мин,6
Джентльмены,"The Gentlemen, 113 мин",113
Море соблазна,"Serenity, 106 мин",106
Али,43 мин,43
Дикие твари,"Savage Creatures, 75 мин",75
Часовщик,88 мин,88
Мэверик,"Maverick, 127 мин",127
Таежная сказка,10 мин,10
Школа рока,"School of Rock, 109 мин",109
Тепло наших тел,"Warm Bodies, 98 мин",98
Ива,24 мин,24
Я не вернусь,105 мин,105
Черный вход,"Backdoor, 9 мин",9
Кодекс бесчестия,148 мин,148
Юные невесты Америки,"America's Child Brides, 60 мин",60
